Caste,subcastes,source
PINJARA,"['DHUNIA', 'NADDAF', 'SHAH', 'KABRAKHODU', 'DHUNIYA', 'BAKSHI PANCH', 'LADAF', 'NADAFF', 'DUDEKULA MANSURI', 'MANSURI-PINJARA', 'SAI', 'DHUNKAR', 'FAQUIR', 'PINJARA PINJARI', 'BEHNA', 'MANSOORI', 'NADAF', 'PINJARA', 'PINJARI', 'FAKIR', 'GANCHI-PINJARA']",mf
QURESHI,['QURESHI'],gov
RAJPUT,"['BHARMORIA', 'BHADAURIYA', 'SAKALANI', 'BARWA', 'PRAJAPATI', 'RAO', 'MINYA', 'GAHLOT', 'SOLANKI', 'SARANG', 'TOMAR', 'KASHYAP', 'OTHERS', 'RAKWAR', 'JHALA', 'MANDHOTRA', 'BHALAIYA', 'NADODA', 'SISODIYA', 'NAGWAL', 'RAJPUT', 'BHANDARI', 'BAGHARIYA', 'SINGH', 'BESHEN', 'VAISHNAV', 'KHODI', 'SHEKHAWAT', 'MALI', 'KUMHA', 'RAVANA', 'KARADIYA', 'RAWAT', 'DADWAL', 'SONAR', 'KHARAL', 'RAUT', 'BRIJWASI', 'DARAGA', 'RAJAWAN', 'KHANDERA', 'JAISWAL', 'CHAUHAN', 'LEVA', 'RATHORE', 'BHAMTA', 'PARMAR', 'PAWAR', 'BHATI', 'QURESHI', 'CHANDAWAT', 'CHANDRA', 'BALKHARYA', 'KHADHAKA', 'LODHI', 'BADGUJAK', 'THAKUR', 'MANSURI', 'BISEN', 'BAGHEL', 'SENGAR', 'RAJAWAT', 'JATAV', 'MEENA', 'JOSHI', 'RANAWAT', 'PANWAR', 'PANWARI', 'PANDEY', 'BANGAR', 'RAHTORE', 'SISODIA', 'SOMWANSH', 'KHARWAL', 'SAHU', 'UJJAINI', 'TAYAL', 'BARWAL', 'RANA', 'TANWAR', 'DEVRA', 'JADAV', 'PALIHAR', 'DIKHIT', 'VAGHELA', 'DHALARIA', 'GAUR', 'PATIYAL', 'JHIWAR', 'BALHARIYA', 'RATHVI', 'BISHT', 'CHOUDHARY', 'VERMA', 'SHAHI', 'BHRIGUVANSHI', 'RAWAL', 'JARAULIYA', 'DEVAL', 'BHOLI', 'MAHAJAN']",mf_shadi_jeevansathi
RANGHAR,"['KHAN', 'RANGHAR']",mf
SAINI,"['SAKE', 'MALI', 'SAINI', 'PATHAN', 'SHAKYA']",mf_shadi_jeevansathi
SAIYED,"['HUSSAIN', 'RIZVI', 'KAZI', 'SAIYED']",mf
SASUI,"['SASUI', 'QURESHI']",mf
SHEIKH,"['ABBASI', 'GOLLA', 'SIDDIQUI', 'RAIGAR', 'SETTIBALIJA', 'DUDEKULA', 'BOYA', 'BOHRA', 'YALAMA', 'CHOUDHARY', 'FAROOQ', 'SHEIKH', 'SUDKULA', 'KHAN', 'ANKE', 'SURYABALIJA', 'ABBASHI', 'DHOBI', 'SAYED', 'NEEKU', 'TELAGA', 'BEG', 'MANSURI', 'SHEIKHPATHAN']",mf
SHEIKH SARVARI,"['PEERAHI', 'SHEIKH SARVARI']",gov
SIHAMUSLIM,['SIHAMUSLIM'],mf
SUDI,"['KESARWANI', 'SINDURIYA- BANIA', 'RONIYAR', 'ADRAKHI', 'MAHURI-VAISHYA', 'SHAH', 'AGRAHARI-VAISHYA', 'SINDURIYA-BANIA', 'HALWAI', 'MODI', 'AVADH-BANIA', 'PATWA', 'SAHU', 'THATHERA', 'PANSARI', 'AWADH-BANIA', 'SUDHI', 'KASERA', 'SUDI']",gov
SUNNI,"['SUNNI', 'SAMRATH']",mf_shadi_jeevansathi
TARKHAN,"['VISHWAKARMA', 'TARKHAN', 'RAMGARHI', 'BADHAI', 'DHIMAN']",mf
TELI,"['DOBAILE', 'HIRONDHI', 'ROGANGAR', 'HANSI', 'SAMANI', 'KUBARA', 'TURI', 'IDRISHI', 'EKBAILE', 'TELI', 'BALADIA', 'TELI RATHOD', 'KARENJEKA', 'SHAH', 'GOUDA', 'GANIGA', 'NAYATA', 'TALAKAR', 'TELI MALIK', 'PRASAD', 'VERMA', 'TELI NAYATA', 'GUPTA', 'RATHOR', 'MALIK', 'TELI RATHORE', 'SONKANTHARI', 'SAHOO', 'YADAV', 'SAHUKAR', 'KALU', 'ABHI', 'TELI-MALIK', 'KOSARE', 'BAWNE', 'MODI', 'TELI SAHU', 'TULATIA', 'SHARMA', 'JAINKALA R', 'SAHU', 'RATHORE', 'SHAHU', 'GIRIPUNJE', 'BOGADA', 'KUBERA', 'KARNJKAR', 'TELI-LINGAYAT', 'JULAHA', 'TELLI', 'KUSHWAHA', 'CHANDRA', 'PINDARI', 'KANKAR', 'HALDIA', 'BAHALDIA', 'BAILE']",mf_shadi_jeevansathi
THATARI,"['THATARI', 'KANSARI']",mf
VADDI,"['SAMPANGI', 'PALLA', 'VADDI', 'VALMIKI', 'NAIKA', 'KUDARI', 'DUDEKULA', 'GUNJE', 'CHEEMALA', 'PATHAN', 'SHAIK', 'MANJARI', 'SAYED']",mf
