caste1,caste2,score
KASBI,KUNBI,2
KASBI,KACHI,2
KASBI,KATHI,2
KASBI,KASAR,2
KOLI,SALI,2
KOLI,TELI,2
KOLI,MALI,2
KOLI,KOHLI,1
KOSHTI,JOSHI,2
KOSHTI,KOHLI,2
KUMBHAR,KUMBARA,2
KACHI,KATHI,1
KACHI,MACHHI,2
KATHI,WARTHI,2
KATHI,KATHAR,2
KASAR,KATHAR,2
KASAR,KALAL,2
LABHA,LADIA,2
LADIA,PADIAR,2
LADIA,WADI,2
LAKHERA,LAKHARI,2
LOHAR,SONAR,2
LOHAR,LONARI,2
LOHAR,POWAR,2
MACHHI,MAHLI,2
MINA,MITHA,2
MAHLI,MAHALI,1
MAHLI,SALI,2
MAHLI,MALI,1
MAHLI,KOHLI,2
MAHLI,MAHAT,2
MEDAR,BELDAR,2
MAHALI,PAKHALI,2
MAHALI,MALI,2
MAHALI,GANALI,2
MAHALI,MAHAT,2
MATHURA,NETHURA,2
NAVI,SALI,2
NAVI,WADI,2
NAVI,MALI,2
NEELI,TELI,2
PADIAR,PATKAR,2
PADIAR,VADDAR,2
PAKHALI,LAKHARI,2
PANCHAL,PANCAL,1
PANCHAL,PANCHAMA,2
PANKA,PATKAR,2
PANKA,SAKKA,2
PANKA,PANCAL,2
PATKAR,KATHAR,2
PATKAR,ATTAR,2
PHULARI,THELARI,2
RAIKARI,RANGARI,2
BANDI,WADI,2
RANGARI,SANGAR,2
RANGARI,VANJARI,2
RANGREZ,RANGREJ,1
SANGAR,SONAR,2
SANGAR,DHANGAR,2
SANGAR,HANBAR,2
SANJOGI,MASANJOGI,2
SAHIS,SALI,2
SALI,WADI,2
SALI,TELI,2
SALI,MALI,1
SONAR,SUTAR,2
SONAR,LONARI,2
SONAR,POWAR,2
WADI,WADHAI,2
WADI,MALI,2
VANJARI,BANJARA,2
SUTAR,ATTAR,2
PINJARA,BANJARA,2
DAVARI,GOVARI,2
TELI,MALI,2
LONARI,OTARI,2
LONARI,GOVARI,2
BHANDARI,BHALDAR,2
KATHAR,ATTAR,2
LANZAD,LAZAD,1
BHAMTA,BHAMTA,0
BHAMTA,BHAMPTA,1
PAL PARDHI,RAJ PARDHI,2
BHAMTA,BHAMPTA,1
GOSAVI,GOVARI,2
BELDAR,BHALDAR,2
PANGUL,PANCAL,2
VAIDU,VEDU,2
OTARI,GOVARI,2
DHANGAR,HANBAR,2
PAHAD,MAHAT,2
PAHAD,PAHAD,0
PAHAD,LAZAD,2
MAHAT,PAHAD,2
PAHAD,LAZAD,2
