Caste,subcastes,source
BARHAI,"['VISHWAKARMA', 'MALVIA', 'VISWAKARMA', 'KHATI', 'GARG', 'RAMGARHIA', 'SUTAR', 'SUTHAR', 'BARHAI', 'BADHAI', 'MISTRY', 'KUNDER', 'DHIMAN', 'SHARMA']",mf
BARI,"['BARAI', 'BARI']",mf_jeevansathi
BARIA,"['KOLI BARIA', 'BARIA']",jeevansathi
BARIJI,"['TAMALI', 'BARUI TAMBULI', 'BARIJI']",gov
BARIKA,"['BARIK', 'BARIKA', 'NAPIT', 'NAI', 'BARIKI', 'SATAGHARIA', 'BHANDARI']",gov
BARJUBI,['BARJUBI'],gov
BARMANS,['BARMANS'],gov
BAROI,['BAROI'],gov
BAROT,"['GADHAVI', 'GADHVI', 'BAROT VAHIVANCHA CHARAN']",gov
BARRA,"['BARRA', 'BERRER']",gov
BARUI,"['BARUIJIBI', 'BARUI']",gov
BARUJIBI,['BARUJIBI'],gov
BARWALA,['BARWALA'],gov
BARWAR,['BARWAR'],gov
BASDEWA,"['BASDEWA', 'VASUDEVA']",gov
BASNI,"['BASNI', 'BOSNI']",gov
BASOR,"['BANSPHOR', 'BASOD', 'BURUD', 'BASHOR', 'BANSODI', 'BASOR', 'BASAR', 'BANSOR', 'BANSAL']",gov
BATA,"['BATA', 'HENSI', 'HESI']",gov
BATEHDA,"['BATTERA', 'BATTU TURKAS', 'BATEHDA', 'BATHADA', 'BATERA']",gov
BATHAL,"['BATTAR', 'BATTAL', 'BATTER', 'BATHAL']",gov
BATHUDI,['BATHUDI'],gov
BATTERA,['BATTERA'],gov
BATWAL,"['BARWALA', 'BATWAL']",gov
BAURI,"['BAURIA', 'CHASA', 'BAURI', 'PATHURIYA', 'BAWARIA', 'CHASHA', 'DASIA BAURI', 'MALLABHUMIA', 'BUNA BAURI', 'BAULIYA', 'DULIA']",mf
BAUTI,['BAUTI'],gov
BAVACHA,"['BAVACHA', 'BAMCHA']",gov
BAVASAR,['BAVASAR'],mf
BAVASARKSHATRIYA,"['BAVASARKSHATRIYA', 'DARJE']",mf
BAVRI,"['BAORI', 'BAVRI', 'BAVURI']",gov
BAWA,"['BAWA-DEDH', 'DEDH-SADHU']",mf
BAWAJI,"['NIMAVAT', 'BAWAJI', 'BAKSHI PANCH', 'GOSAWMI', 'NATH', 'BAVAJI']",mf
BAWARCHI,"['BHATIARA', 'BAWARCHI']",gov
BAWARIA,"['BAWRIA', 'BAURIA', 'DABLA', 'BAWARIA']",mf
BAWTAR,['BAWTAR'],gov
BAYAR,"['BAYAR', 'BARWAR']",mf
